Travel & Events,1,,nan,23997826,,ques.5,,Row Labels,Autos & Vehicles,Comedy,Education,Entertainment,Film & Animation,Gaming,Howto & Style,Movies,Music,nan,News & Politics,Nonprofits & Activism,People & Blogs,Pets & Animals,Science & Technology,Shows,Sports,Trailers,Travel & Events,Autos & Vehicles,Comedy,Education,Entertainment,Film & Animation,Gaming,Howto & Style,Movies,Music,nan,News & Politics,Nonprofits & Activism,People & Blogs,Pets & Animals,Science & Technology,Shows,Sports,Trailers,Travel & Events,Autos & Vehicles,Comedy,Education,Entertainment,Film & Animation,Gaming,Howto & Style,Movies,Music,nan,News & Politics,Nonprofits & Activism,People & Blogs,Pets & Animals,Science & Technology,Shows,Sports,Trailers,Travel & Events,Autos & Vehicles,Comedy,Education,Entertainment,Film & Animation,Gaming,Howto & Style,Movies,Music,nan,News & Politics,Nonprofits & Activism,People & Blogs,Pets & Animals,Science & Technology,Shows,Sports,Trailers,Travel & Events,Autos & Vehicles,Comedy,Education,Entertainment,Film & Animation,Gaming,Howto & Style,Movies,Music,nan,News & Politics,Nonprofits & Activism,People & Blogs,Pets & Animals,Science & Technology,Shows,Sports,Trailers,Travel & Events,,,,,
Grand Total,995,,News & Politics,20630769,,,,Jan,,11,7,27,2,10,4,,19,3,4,,13,,,1,,,,,11,7,27,2,10,4,,19,3,4,,13,,,1,,,,,28638,8725,350916,245,15211,13311,,87012,608,282699,,12574,,,3091,,,,,11,7,27,2,10,4,,19,3,4,,13,,,1,,,,,11,7,27,2,10,4,,19,3,4,,13,,,1,,,,101,101,803030,101,101
,,,Nonprofits & Activism,27750000,,,,Feb,,7,3,16,3,8,2,1,11,1,2,,8,,,2,3,,,,7,3,16,3,8,2,1,11,1,2,,8,,,2,3,,,,3417,4972,440118,1852,26180,1509,5436,8656,590,211626,,67701,,,1426,12600,,,,7,3,16,3,8,2,1,11,1,2,,8,,,2,3,,,,7,3,16,3,8,2,1,11,1,2,,8,,,2,3,,,67,67,786083,67,67
,,,People & Blogs,21056061,,,,Mar,1,9,6,24,5,8,2,,16,3,2,,6,,3,,2,,,1,9,6,24,5,8,2,,16,3,2,,6,,3,,2,,,2942,6651,5823,185380,19290,19646,750,,57916,2879,51366,,3913,,1568,,15051,,,1,9,6,24,5,8,2,,16,3,2,,6,,3,,2,,,1,9,6,24,5,8,2,,16,3,2,,6,,3,,2,,,87,87,373175,87,87
,,,Pets & Animals,18100000,,,,Apr,,2,2,21,5,7,6,,10,1,2,1,11,,3,,1,,,,2,2,21,5,7,6,,10,1,2,1,11,,3,,1,,,,981,3384,28441,52339,16839,7351,,24649,469,28994,4891,6999,,2687,,777,,,,2,2,21,5,7,6,,10,1,2,1,11,,3,,1,,,,2,2,21,5,7,6,,10,1,2,1,11,,3,,1,,,72,72,178801,72,72
,,,Science & Technology,18617647,,,,May,,4,3,22,3,14,,1,21,2,,,10,,1,2,1,,,,4,3,22,3,14,,1,21,2,,,10,,1,2,1,,,,1507,1707,483036,3821,30315,,1670,17942,546,,,12271,,10162,25110,70127,,,,4,3,22,3,14,,1,21,2,,,10,,1,2,1,,,,4,3,22,3,14,,1,21,2,,,10,,1,2,1,,,84,84,658214,84,84
,,,Shows,41615385,,,,Jun,,7,5,12,3,3,4,,17,5,1,1,11,1,2,1,,,,,7,5,12,3,3,4,,17,5,1,1,11,1,2,1,,,,,2628,48382,78832,4222,5582,9025,,17452,1696,180092,200933,315995,8,1109,112915,,,,,7,5,12,3,3,4,,17,5,1,1,11,1,2,1,,,,,7,5,12,3,3,4,,17,5,1,1,11,1,2,1,,,,73,73,978871,73,73
,,,Sports,27109091,,,,Jul,,6,5,19,6,17,2,,14,3,1,,15,,1,1,,,1,,6,5,19,6,17,2,,14,3,1,,15,,1,1,,,1,,12272,54935,134633,8721,27007,2471,,42290,2072,4750,,212207,,462,1255,,,766,,6,5,19,6,17,2,,14,3,1,,15,,1,1,,,1,,6,5,19,6,17,2,,14,3,1,,15,,1,1,,,1,91,91,503841,91,91
,,,Trailers,39000000,,,,Aug,,8,2,20,4,6,6,,16,2,5,,10,1,,2,,,,,8,2,20,4,6,6,,16,2,5,,10,1,,2,,,,,3338,338,183021,8636,23407,3715,,42685,25,907116,,70660,769,,75051,,,,,8,2,20,4,6,6,,16,2,5,,10,1,,2,,,,,8,2,20,4,6,6,,16,2,5,,10,1,,2,,,,82,82,1318761,82,82
,,,Travel & Events,12500000,,,,Sep,1,2,3,24,4,4,6,,24,5,2,,14,1,1,2,2,1,,1,2,3,24,4,4,6,,24,5,2,,14,1,1,2,2,1,,855,327,1793,327244,9446,165969,6891,,82373,3994,266142,,179741,982,1411,117754,11378,4510,,1,2,3,24,4,4,6,,24,5,2,,14,1,1,2,2,1,,1,2,3,24,4,4,6,,24,5,2,,14,1,1,2,2,1,,96,96,1180810,96,96
,,,(blank),,,,,Oct,,7,3,18,5,4,4,,17,4,6,,7,,2,,,1,,,7,3,18,5,4,4,,17,4,6,,7,,2,,,1,,,9381,3679,206404,12859,20592,14797,,32046,1353,981879,,3884,,5161,,,9168,,,7,3,18,5,4,4,,17,4,6,,7,,2,,,1,,,7,3,18,5,4,4,,17,4,6,,7,,2,,,1,,78,78,1301203,78,78
,,,Grand Total,22982412,,,,Nov,,4,,22,4,6,1,,21,10,1,,13,1,3,2,2,,,,4,,22,4,6,1,,21,10,1,,13,1,3,2,2,,,,6465,,302927,7145,20928,0,,45813,7862,9930,,306588,16047,11204,20166,49498,,,,4,,22,4,6,1,,21,10,1,,13,1,3,2,2,,,,4,,22,4,6,1,,21,10,1,,13,1,3,2,2,,,90,90,804573,90,90
,,,,,,,,Dec,,2,6,15,2,6,3,,14,7,,,13,,1,,,,,,2,6,15,2,6,3,,14,7,,,13,,1,,,,,,1658,7691,148992,208,33785,7114,,12939,18616,,,20650,,2175,,,,,,2,6,15,2,6,3,,14,7,,,13,,1,,,,,,2,6,15,2,6,3,,14,7,,,13,,1,,,,,69,69,253828,69,69
,,,,,,,,nan,,,,1,,1,,,2,,,,1,,,,,,,,,,1,,1,,,2,,,,1,,,,,,,,,,0,,0,,,0,,,,0,,,,,,,,,,1,,1,,,2,,,,1,,,,,,,,,,1,,1,,,2,,,,1,,,,,,,5,5,0,5,5
,,,,,,,,Grand Total,2,69,45,241,46,94,40,2,202,46,26,2,132,4,17,13,11,2,1,2,69,45,241,46,94,40,2,202,46,26,2,132,4,17,13,11,2,1,3797,77263,141429,2869944,128784,405461,66934,7106,471773,40710,2924594,205824,1213183,17806,35939,356768,159431,13678,766,2,69,45,241,46,94,40,2,202,46,26,2,132,4,17,13,11,2,1,2,69,45,241,46,94,40,2,202,46,26,2,132,4,17,13,11,2,1,995,995,9141190,995,995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
